;account_id;frequency;date;loan_id;date_loan;amount;duration;payments;status;client_id;type;birth_number;district_id_client;gender;age_loan;code;name ;region;no. of inhabitants;no. of municipalities with inhabitants < 499 ;no. of municipalities with inhabitants 500-1999;no. of municipalities with inhabitants 2000-9999 ;no. of municipalities with inhabitants >10000 ;no. of cities ;ratio of urban inhabitants ;average salary ;no. of enterpreneurs per 1000 inhabitants ;unemployment_rate;commited_crimes;disp_id_count;diff_salary_loan
10;10364;monthly issuance;930117;7121;931110;21924;36;609;1;12754;OWNER;600820;55;male;931110;55;Brno - venkov;south Moravia;157042;49;70;18;0;9;33.9;8743;111;2.1550000000000002;3776.5;2;8134
11;5270;monthly issuance;930113;6077;931122;79608;24;3317;1;6367;OWNER;700428;44;male;931122;44;Chrudim;east Bohemia;105606;77;26;7;2;7;53.0;8254;97;3.275;2245.5;1;4937
12;6034;weekly issuance;930319;6228;931201;464520;60;7742;-1;7291;OWNER;406202;77;female;931201;77;Vsetin;north Moravia;148545;8;35;12;3;4;53.5;8909;113;4.785;3525.0;1;1167
13;6701;weekly issuance;930315;6356;931208;95400;36;2650;1;8091;OWNER;710210;5;male;931208;5;Kolin;central Bohemia;95616;65;30;4;1;6;51.4;9307;118;4.14;2828.0;1;6657
14;2705;issuance after transaction;930705;5523;931208;93888;36;2608;1;3264;OWNER;506020;63;female;931208;63;Vyskov;south Moravia;86513;38;36;5;1;5;50.5;8288;110;4.154999999999999;1511.0;1;5680
15;7123;issuance after transaction;930414;6456;931209;47016;12;3918;1;8598;OWNER;576231;46;female;931209;46;Nachod;east Bohemia;112709;48;20;7;3;10;73.5;8369;117;2.05;2736.0;1;4451
16;10320;monthly issuance;930711;7104;931213;259740;60;4329;1;12695;OWNER;790316;68;male;931213;68;Frydek - Mistek;north Moravia;228848;15;40;18;2;6;57.2;9893;96;4.404999999999999;5755.0;1;5564
17;9034;monthly issuance;930628;6820;931216;38148;12;3179;1;11126;OWNER;655122;1;female;931216;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;9362
18;9236;monthly issuance;930818;6876;931221;86616;12;7218;1;11372;OWNER;610928;11;male;931221;11;Praha - zapad;central Bohemia;75637;35;36;9;0;7;36.5;9622;154;0.52;3502.0;1;2404
19;10266;monthly issuance;930610;7097;931223;75624;24;3151;-1;12625;OWNER;581207;54;male;931223;54;Brno - mesto;south Moravia;387570;0;0;0;1;1;100.0;9897;140;1.78;18708.5;1;6746
20;2;monthly issuance;930226;4959;940105;80952;24;3373;1;2;OWNER;450204;1;male;940105;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;2;9168
21;7401;monthly issuance;930226;6499;940105;80952;24;3373;1;9173;OWNER;450204;1;male;940105;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;2;9168
22;2486;monthly issuance;930227;5479;940110;24516;12;2043;1;3001;OWNER;581007;1;male;940110;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;10498
23;1071;weekly issuance;930510;5170;940120;253200;60;4220;1;1286;OWNER;505313;52;female;940120;52;Usti nad Orlici;east Bohemia;139012;59;41;8;3;10;61.9;8363;108;3.005;2681.5;1;4143
24;8475;monthly issuance;930908;6721;940121;21072;24;878;1;10459;OWNER;645809;17;female;940121;17;Pelhrimov;south Bohemia;74062;99;15;4;2;7;61.4;8114;119;2.5;1092.0;1;7236
25;11111;monthly issuance;930520;7259;940131;108144;36;3004;1;13657;OWNER;635512;59;female;940131;59;Kromeriz;south Moravia;108871;41;29;7;2;6;62.1;8444;106;3.3550000000000004;2450.0;2;5440
26;1603;monthly issuance;930509;5285;940206;78936;12;6578;1;1944;OWNER;575122;31;female;940206;31;Tachov;west Bohemia;51313;34;12;3;1;4;59.2;8930;108;3.8600000000000003;1390.0;1;2352
27;1166;monthly issuance;930421;5189;940207;149040;48;3105;1;1404;OWNER;686220;11;female;940207;11;Praha - zapad;central Bohemia;75637;35;36;9;0;7;36.5;9622;154;0.52;3502.0;1;6517
28;8073;issuance after transaction;930903;6650;940217;49320;12;4110;-1;9973;OWNER;456003;24;female;940217;24;Karlovy Vary;west Bohemia;122603;25;21;6;2;8;80.0;8991;128;1.6999999999999997;5235.5;1;4881
29;10940;monthly issuance;930913;7226;940223;197748;36;5493;1;13447;OWNER;705505;13;female;940223;13;Rakovnik;central Bohemia;53921;61;22;1;1;2;41.3;8598;123;3.0149999999999997;1736.0;2;3105
30;5313;monthly issuance;930429;6087;940227;300660;60;5011;1;6417;OWNER;500107;40;male;940227;40;Teplice;north Bohemia;128118;9;16;6;3;8;85.3;9317;97;6.78;6910.5;1;4306
31;11135;monthly issuance;931010;7262;940301;182628;36;5073;1;13687;OWNER;590523;75;male;940301;75;Prerov;north Moravia;138032;67;30;4;2;5;64.6;8819;99;5.52;4284.0;1;3746
32;2694;monthly issuance;930308;5519;940308;91632;12;7636;1;3251;OWNER;626228;52;female;940308;52;Usti nad Orlici;east Bohemia;139012;59;41;8;3;10;61.9;8363;108;3.005;2681.5;2;727
33;7753;monthly issuance;930208;6577;940311;51696;24;2154;1;9593;OWNER;685128;74;female;940311;74;Ostrava - mesto;north Moravia;323870;0;0;0;1;1;100.0;10673;100;5.095000000000001;18564.5;1;8519
34;7445;monthly issuance;930318;6509;940315;55368;24;2307;1;9226;OWNER;396225;64;female;940315;64;Zlin;south Moravia;197099;29;41;10;2;10;74.7;9624;145;1.955;4374.5;1;7317
35;7485;monthly issuance;930728;6520;940316;91200;24;3800;1;9273;OWNER;555826;39;female;940316;39;Most;north Bohemia;119895;17;4;3;2;4;89.9;10446;90;8.370000000000001;4845.0;2;6646
36;8330;monthly issuance;930328;6699;940330;7656;24;319;1;10287;OWNER;625903;48;female;940330;48;Rychnov nad Kneznou;east Bohemia;78955;50;24;8;1;9;59.0;9060;124;2.11;1686.0;2;8741
37;6555;weekly issuance;930305;6336;940331;212400;36;5900;1;7914;OWNER;666024;38;female;940331;38;Louny;north Bohemia;85852;41;23;4;2;4;59.8;8965;104;7.655;2737.5;1;3065
38;10079;monthly issuance;930506;7055;940406;167100;60;2785;1;12396;OWNER;705117;62;female;940406;62;Uherske Hradiste;south Moravia;145688;22;41;13;2;5;40.7;8544;109;1.5750000000000002;2812.5;2;5759
39;5385;weekly issuance;930521;6103;940407;149340;60;2489;1;6499;OWNER;630201;44;male;940407;44;Chrudim;east Bohemia;105606;77;26;7;2;7;53.0;8254;97;3.275;2245.5;1;5765
40;5891;monthly issuance;930125;6202;940418;65184;12;5432;1;7127;OWNER;570929;3;male;940418;3;Beroun;central Bohemia;75232;55;26;4;1;5;41.7;8980;111;2.08;2818.5;1;3548
41;10131;monthly issuance;931127;7066;940502;215388;36;5983;-1;12464;OWNER;591217;39;male;940502;39;Most;north Bohemia;119895;17;4;3;2;4;89.9;10446;90;8.370000000000001;4845.0;1;4463
42;8321;monthly issuance;930412;6696;940509;89040;60;1484;1;10275;OWNER;705125;77;female;940509;77;Vsetin;north Moravia;148545;8;35;12;3;4;53.5;8909;113;4.785;3525.0;2;7425
43;5256;issuance after transaction;931025;6072;940510;193968;36;5388;1;6349;OWNER;721203;72;male;940510;72;Olomouc;north Moravia;226122;32;50;7;4;4;62.6;8994;110;4.295;9440.0;1;3606
44;813;monthly issuance;930210;5130;940511;24312;12;2026;1;976;OWNER;556119;16;female;940511;16;Jindrichuv Hradec;south Bohemia;93931;74;21;10;1;8;56.9;8427;107;1.33;1893.5;1;6401
45;2933;monthly issuance;930618;5568;940517;272520;60;4542;1;3542;OWNER;390902;10;male;940517;10;Praha - vychod;central Bohemia;92084;55;29;4;3;5;46.7;10124;141;0.55;4063.0;2;5582
46;8173;monthly issuance;930705;6678;940520;80340;12;6695;1;10095;OWNER;765206;1;female;940520;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;2;5846
47;9833;monthly issuance;930724;6998;940521;97632;12;8136;1;12102;OWNER;685907;21;female;940521;21;Tabor;south Bohemia;103347;87;16;7;1;7;67.0;9104;123;1.79;2326.5;1;968
48;7769;monthly issuance;931003;6580;940522;196080;48;4085;1;9611;OWNER;580527;23;male;940522;23;Cheb;west Bohemia;87419;21;11;4;3;9;85.5;8624;102;2.225;3038.5;1;4539
49;6473;monthly issuance;930126;6316;940526;76908;12;6409;-1;7815;OWNER;465119;4;female;940526;4;Kladno;central Bohemia;149893;63;29;6;2;6;67.4;9753;109;4.845;5568.0;1;3344
50;7454;monthly issuance;930419;6512;940526;63312;48;1319;1;9236;OWNER;565507;31;female;940526;31;Tachov;west Bohemia;51313;34;12;3;1;4;59.2;8930;108;3.8600000000000003;1390.0;1;7611
51;6930;monthly issuance;930908;6407;940526;25944;24;1081;1;8366;OWNER;605521;41;female;940526;41;Usti nad Labem;north Bohemia;118650;8;8;5;1;3;85.6;9832;114;3.9000000000000004;5958.0;1;8751
52;173;monthly issuance;931126;5002;940531;104808;12;8734;1;210;OWNER;391130;66;male;940531;66;Zdar nad Sazavou;south Moravia;125832;151;41;2;3;5;48.3;8512;102;3.815;2175.0;2;-222
53;8051;weekly issuance;930207;6647;940601;208320;48;4340;1;9945;OWNER;685414;31;female;940601;31;Tachov;west Bohemia;51313;34;12;3;1;4;59.2;8930;108;3.8600000000000003;1390.0;2;4590
54;10439;monthly issuance;931121;7137;940603;151560;24;6315;1;12843;OWNER;530505;66;male;940603;66;Zdar nad Sazavou;south Moravia;125832;151;41;2;3;5;48.3;8512;102;3.815;2175.0;1;2197
55;9337;monthly issuance;930913;6903;940604;52128;24;2172;1;11497;OWNER;595717;11;female;940604;11;Praha - zapad;central Bohemia;75637;35;36;9;0;7;36.5;9622;154;0.52;3502.0;1;7450
56;4576;monthly issuance;930605;5918;940604;300204;36;8339;1;5517;OWNER;640313;57;male;940604;57;Hodonin;south Moravia;161954;21;37;20;3;8;48.0;8720;116;4.115;3690.0;1;381
57;8027;weekly issuance;930707;6642;940605;77640;12;6470;1;9915;OWNER;670710;27;male;940605;27;Plzen - jih;west Bohemia;67298;71;19;10;0;7;43.8;8561;110;0.97;1078.0;1;2091
58;5927;monthly issuance;931126;6210;940606;87216;48;1817;-1;7166;OWNER;640513;15;male;940606;15;Cesky Krumlov;south Bohemia;58796;22;16;7;1;5;51.9;9045;124;3.365;1862.0;1;7228
59;6273;monthly issuance;930721;6279;940607;87360;24;3640;1;7576;OWNER;620710;38;male;940607;38;Louny;north Bohemia;85852;41;23;4;2;4;59.8;8965;104;7.655;2737.5;1;5325
60;11065;monthly issuance;930319;7249;940612;69360;48;1445;1;13603;OWNER;410728;46;male;940612;46;Nachod;east Bohemia;112709;48;20;7;3;10;73.5;8369;117;2.05;2736.0;1;6924
61;8558;issuance after transaction;940227;6736;940614;288360;60;4806;1;10555;OWNER;351215;1;male;940614;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;7735
62;5442;monthly issuance;930322;6112;940617;174744;24;7281;-1;6567;OWNER;786121;5;female;940617;5;Kolin;central Bohemia;95616;65;30;4;1;6;51.4;9307;118;4.14;2828.0;1;2026
63;1811;monthly issuance;930922;5319;940623;239460;60;3991;1;2195;OWNER;425913;68;female;940623;68;Frydek - Mistek;north Moravia;228848;15;40;18;2;6;57.2;9893;96;4.404999999999999;5755.0;1;5902
64;7844;monthly issuance;931126;6596;940625;91584;24;3816;1;9702;OWNER;516116;33;female;940625;33;Decin;north Bohemia;133777;24;17;7;3;11;84.7;8705;116;6.68;4754.5;1;4889
65;4260;monthly issuance;931014;5837;940629;244560;60;4076;1;5134;OWNER;675719;58;female;940629;58;Jihlava;south Moravia;109164;98;16;6;1;4;63.6;8757;96;3.665;2341.5;1;4681
66;3354;monthly issuance;931105;5657;940705;4980;12;415;1;4056;OWNER;525726;63;female;940705;63;Vyskov;south Moravia;86513;38;36;5;1;5;50.5;8288;110;4.154999999999999;1511.0;1;7873
67;2762;monthly issuance;930320;5533;940705;111384;24;4641;1;3335;OWNER;670210;11;male;940705;11;Praha - zapad;central Bohemia;75637;35;36;9;0;7;36.5;9622;154;0.52;3502.0;1;4981
68;6051;monthly issuance;930828;6232;940708;276660;36;7685;-1;7311;OWNER;490518;56;male;940708;56;Breclav;south Moravia;124605;11;42;14;1;8;46.0;8772;126;4.835000000000001;3006.0;1;1087
69;9265;monthly issuance;930204;6888;940711;39576;12;3298;1;11409;OWNER;805502;32;female;940711;32;Ceska Lipa;north Bohemia;105058;32;19;7;2;10;81.0;9272;118;3.01;4422.5;1;5974
70;5228;issuance after transaction;930623;6066;940711;173808;24;7242;1;6317;OWNER;575127;77;female;940711;77;Vsetin;north Moravia;148545;8;35;12;3;4;53.5;8909;113;4.785;3525.0;2;1667
71;2824;monthly issuance;931020;5549;940716;50460;60;841;1;3414;OWNER;476017;11;female;940716;11;Praha - zapad;central Bohemia;75637;35;36;9;0;7;36.5;9622;154;0.52;3502.0;1;8781
72;426;monthly issuance;931129;5060;940719;252060;60;4201;-1;512;OWNER;655803;60;female;940719;60;Prostejov;south Moravia;110643;49;41;4;1;4;51.9;8441;115;3.9650000000000003;2065.5;1;4240
73;4937;monthly issuance;930220;6004;940723;143904;24;5996;1;5965;OWNER;510410;50;male;940723;50;Svitavy;east Bohemia;102609;75;33;2;3;6;52.0;8187;94;5.140000000000001;2128.5;1;2191
74;790;monthly issuance;930511;5126;940724;208128;48;4336;-1;946;OWNER;510806;54;male;940724;54;Brno - mesto;south Moravia;387570;0;0;0;1;1;100.0;9897;140;1.78;18708.5;1;5561
75;10911;weekly issuance;930529;7220;940728;131292;36;3647;1;13412;OWNER;540320;1;male;940728;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;8894
76;8129;monthly issuance;930626;6668;940730;74736;36;2076;1;10043;OWNER;651029;45;male;940730;45;Jicin;east Bohemia;77917;85;19;6;1;5;53.5;8390;132;2.585;2101.0;1;6314
77;2176;monthly issuance;930606;5395;940730;299088;36;8308;-1;2635;OWNER;666210;67;female;940730;67;Bruntal;north Moravia;106054;38;25;6;2;6;63.1;8110;109;6.16;3161.5;1;-198
78;9093;monthly issuance;930616;6836;940803;189300;60;3155;1;11195;OWNER;531205;58;male;940803;58;Jihlava;south Moravia;109164;98;16;6;1;4;63.6;8757;96;3.665;2341.5;1;5602
79;5215;monthly issuance;930701;6064;940804;14628;12;1219;1;6301;OWNER;495308;55;female;940804;55;Brno - venkov;south Moravia;157042;49;70;18;0;9;33.9;8743;111;2.1550000000000002;3776.5;1;7524
80;9403;weekly issuance;930327;6919;940805;120888;36;3358;1;11574;OWNER;445420;1;female;940805;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;9183
81;9104;monthly issuance;940121;6841;940807;172080;48;3585;1;11208;OWNER;575305;10;female;940807;10;Praha - vychod;central Bohemia;92084;55;29;4;3;5;46.7;10124;141;0.55;4063.0;1;6539
82;5120;monthly issuance;930621;6038;940810;323472;48;6739;1;6178;OWNER;406015;1;female;940810;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;5802
83;8519;monthly issuance;930402;6729;940811;74688;12;6224;1;10510;OWNER;455126;23;female;940811;23;Cheb;west Bohemia;87419;21;11;4;3;9;85.5;8624;102;2.225;3038.5;2;2400
84;10788;weekly issuance;931122;7198;940823;45768;12;3814;1;13260;OWNER;775527;72;female;940823;72;Olomouc;north Moravia;226122;32;50;7;4;4;62.6;8994;110;4.295;9440.0;1;5180
85;8260;monthly issuance;930324;6686;940825;224604;36;6239;1;10198;OWNER;760524;31;male;940825;31;Tachov;west Bohemia;51313;34;12;3;1;4;59.2;8930;108;3.8600000000000003;1390.0;2;2691
86;4259;monthly issuance;940408;5836;940827;79632;24;3318;1;5133;OWNER;595810;66;female;940827;66;Zdar nad Sazavou;south Moravia;125832;151;41;2;3;5;48.3;8512;102;3.815;2175.0;1;5194
87;10105;monthly issuance;930428;7061;940827;121896;24;5079;1;12432;OWNER;650307;55;male;940827;55;Brno - venkov;south Moravia;157042;49;70;18;0;9;33.9;8743;111;2.1550000000000002;3776.5;1;3664
88;3050;monthly issuance;930508;5595;940902;82896;12;6908;1;3687;OWNER;720206;49;male;940902;49;Semily;east Bohemia;75685;31;28;5;1;9;60.8;8208;155;2.0749999999999997;1891.5;2;1300
89;3674;monthly issuance;930312;5723;940910;23628;12;1969;1;4428;OWNER;540309;38;male;940910;38;Louny;north Bohemia;85852;41;23;4;2;4;59.8;8965;104;7.655;2737.5;1;6996
90;5481;monthly issuance;930816;6120;940911;209184;48;4358;1;6616;OWNER;530618;1;male;940911;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;8183
91;9307;monthly issuance;930124;6895;940919;41904;12;3492;1;11461;OWNER;740708;70;male;940919;70;Karvina;north Moravia;285387;0;2;8;5;7;89.9;10177;81;7.1899999999999995;9993.0;1;6685
92;4427;monthly issuance;930607;5882;940926;87816;12;7318;1;5337;OWNER;610502;1;male;940926;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;2;5223
93;3834;monthly issuance;930119;5754;940928;23052;12;1921;1;4620;OWNER;406101;54;female;940928;54;Brno - mesto;south Moravia;387570;0;0;0;1;1;100.0;9897;140;1.78;18708.5;2;7976
94;7824;monthly issuance;940517;6594;940928;189696;24;7904;-1;9675;OWNER;705219;60;female;940928;60;Prostejov;south Moravia;110643;49;41;4;1;4;51.9;8441;115;3.9650000000000003;2065.5;1;537
95;8566;monthly issuance;931008;6738;940929;230220;36;6395;-1;10566;OWNER;426109;74;female;940929;74;Ostrava - mesto;north Moravia;323870;0;0;0;1;1;100.0;10673;100;5.095000000000001;18564.5;1;4278
96;7965;monthly issuance;931108;6624;940930;71460;12;5955;1;9844;OWNER;450803;55;male;940930;55;Brno - venkov;south Moravia;157042;49;70;18;0;9;33.9;8743;111;2.1550000000000002;3776.5;2;2788
97;5952;monthly issuance;930907;6216;940930;141240;24;5885;1;7195;OWNER;620911;50;male;940930;50;Svitavy;east Bohemia;102609;75;33;2;3;6;52.0;8187;94;5.140000000000001;2128.5;1;2302
98;6040;monthly issuance;930422;6229;941002;11736;24;489;1;7299;OWNER;380916;1;male;941002;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;12052
99;4448;monthly issuance;930602;5887;941003;192744;36;5354;1;5366;OWNER;715920;60;female;941003;60;Prostejov;south Moravia;110643;49;41;4;1;4;51.9;8441;115;3.9650000000000003;2065.5;2;3087
100;8982;monthly issuance;930925;6808;941012;227880;36;6330;1;11063;OWNER;556104;64;female;941012;64;Zlin;south Moravia;197099;29;41;10;2;10;74.7;9624;145;1.955;4374.5;2;3294
101;6363;monthly issuance;930801;6297;941025;17508;12;1459;1;7683;OWNER;460401;12;male;941025;12;Pribram;central Bohemia;107870;84;29;6;1;6;58.0;8754;137;4.07;3836.0;1;7295
102;1012;monthly issuance;940709;5161;941028;98184;24;4091;1;1216;OWNER;455612;65;female;941028;65;Znojmo;south Moravia;114200;101;41;4;1;4;43.7;8403;105;5.73;2437.5;1;4312
103;2167;monthly issuance;930808;5390;941030;170256;24;7094;1;2623;OWNER;655716;16;female;941030;16;Jindrichuv Hradec;south Bohemia;93931;74;21;10;1;8;56.9;8427;107;1.33;1893.5;1;1333
104;5622;monthly issuance;930208;6150;941102;83016;12;6918;1;6789;OWNER;790326;57;male;941102;57;Hodonin;south Moravia;161954;21;37;20;3;8;48.0;8720;116;4.115;3690.0;1;1802
105;5991;monthly issuance;931121;6223;941103;61056;48;1272;1;7241;OWNER;575906;57;female;941103;57;Hodonin;south Moravia;161954;21;37;20;3;8;48.0;8720;116;4.115;3690.0;1;7448
106;290;monthly issuance;931202;5032;941103;123696;48;2577;1;352;OWNER;400827;56;male;941103;56;Breclav;south Moravia;124605;11;42;14;1;8;46.0;8772;126;4.835000000000001;3006.0;1;6195
107;6148;monthly issuance;931227;6253;941104;59760;24;2490;1;7422;OWNER;581126;74;male;941104;74;Ostrava - mesto;north Moravia;323870;0;0;0;1;1;100.0;10673;100;5.095000000000001;18564.5;2;8183
108;7133;monthly issuance;930917;6460;941106;48672;36;1352;1;8610;OWNER;485502;55;female;941106;55;Brno - venkov;south Moravia;157042;49;70;18;0;9;33.9;8743;111;2.1550000000000002;3776.5;2;7391
109;8041;monthly issuance;931010;6645;941106;140400;36;3900;1;9933;OWNER;411015;74;male;941106;74;Ostrava - mesto;north Moravia;323870;0;0;0;1;1;100.0;10673;100;5.095000000000001;18564.5;1;6773
110;1106;weekly issuance;930829;5176;941112;192552;24;8023;-1;1327;OWNER;636231;20;female;941112;20;Strakonice;south Bohemia;70646;94;14;3;1;4;58.4;8547;120;3.145;1552.5;1;524
111;1527;issuance after transaction;931117;5269;941119;164052;36;4557;-1;1851;OWNER;755912;31;female;941119;31;Tachov;west Bohemia;51313;34;12;3;1;4;59.2;8930;108;3.8600000000000003;1390.0;1;4373
112;1978;weekly issuance;930611;5351;941204;205200;36;5700;1;2403;OWNER;635125;1;female;941204;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;6841
113;4337;monthly issuance;931116;5861;941208;51408;24;2142;1;5224;OWNER;490724;29;male;941208;29;Rokycany;west Bohemia;45714;52;10;5;1;6;55.6;8843;113;3.21;853.0;1;6701
114;2345;monthly issuance;931025;5450;941211;199680;60;3328;1;2834;OWNER;490523;52;male;941211;52;Usti nad Orlici;east Bohemia;139012;59;41;8;3;10;61.9;8363;108;3.005;2681.5;1;5035
115;10451;monthly issuance;930829;7142;941219;482940;60;8049;-1;12859;OWNER;765521;1;female;941219;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;4492
116;6425;monthly issuance;930329;6306;941220;36684;12;3057;1;7753;OWNER;785923;70;female;941220;70;Karvina;north Moravia;285387;0;2;8;5;7;89.9;10177;81;7.1899999999999995;9993.0;1;7120
117;6226;weekly issuance;930726;6272;941220;398640;60;6644;1;7521;OWNER;605209;74;female;941220;74;Ostrava - mesto;north Moravia;323870;0;0;0;1;1;100.0;10673;100;5.095000000000001;18564.5;1;4029
118;344;monthly issuance;931201;5044;941221;100980;60;1683;1;421;OWNER;650731;54;male;941221;54;Brno - mesto;south Moravia;387570;0;0;0;1;1;100.0;9897;140;1.78;18708.5;1;8214
119;2962;monthly issuance;930530;5576;941221;31248;12;2604;1;3576;OWNER;395315;1;female;941221;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;9937
120;10738;weekly issuance;930417;7192;941221;115992;36;3222;1;13201;OWNER;370517;31;male;941221;31;Tachov;west Bohemia;51313;34;12;3;1;4;59.2;8930;108;3.8600000000000003;1390.0;1;5708
121;3747;monthly issuance;940501;5739;950102;76380;12;6365;1;4520;OWNER;575628;1;female;950102;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;6176
122;7523;monthly issuance;940829;6526;950103;288468;36;8013;1;9316;OWNER;586026;63;female;950103;63;Vyskov;south Moravia;86513;38;36;5;1;5;50.5;8288;110;4.154999999999999;1511.0;1;275
123;3166;monthly issuance;930810;5624;950103;177744;48;3703;-1;3829;OWNER;720313;59;male;950103;59;Kromeriz;south Moravia;108871;41;29;7;2;6;62.1;8444;106;3.3550000000000004;2450.0;1;4741
124;6118;weekly issuance;940307;6244;950108;270648;36;7518;-1;7390;OWNER;371104;1;male;950108;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;1;5023
125;816;monthly issuance;930805;5131;950108;48624;24;2026;1;980;OWNER;610930;40;male;950108;40;Teplice;north Bohemia;128118;9;16;6;3;8;85.3;9317;97;6.78;6910.5;1;7291
126;9640;monthly issuance;930313;6960;950111;76416;24;3184;1;11866;OWNER;370902;1;male;950111;1;Hl.m. Praha;Prague;1204953;0;0;0;1;1;100.0;12541;167;0.36;92392.0;2;9357
127;6715;weekly issuance;930915;6358;950114;137880;60;2298;-1;8105;OWNER;630312;72;male;950114;72;Olomouc;north Moravia;226122;32;50;7;4;4;62.6;8994;110;4.295;9440.0;1;6696
128;2245;monthly issuance;930330;5418;950116;347952;48;7249;1;2719;OWNER;646030;29;female;950116;29;Rokycany;west Bohemia;45714;52;10;5;1;6;55.6;8843;113;3.21;853.0;1;1594
129;7857;monthly issuance;930804;6598;950118;68112;12;5676;1;9715;OWNER;776130;35;female;950118;35;Jablonec n. Nisou;north Bohemia;88768;10;18;5;1;7;80.5;8867;130;1.115;3502.0;1;3191
130;2419;monthly issuance;931127;5464;950130;95808;12;7984;1;2922;OWNER;400907;43;male;950130;43;Hradec Kralove;east Bohemia;161854;73;21;6;1;6;76.3;9425;125;2.11;3988.0;1;1441
131;7819;monthly issuance;930801;6591;950202;20832;48;434;1;9670;OWNER;480504;38;male;950202;38;Louny;north Bohemia;85852;41;23;4;2;4;59.8;8965;104;7.655;2737.5;1;8531
